Current Velocity: 12	Coast	Distance: 8.1e+02	Time: 12	Final Velocity: 12	Joules Lost: 5.9e+03	
Current Velocity: 12	Coast	Distance: 8.2e+02	Time: 12	Final Velocity: 12	Joules Lost: 5.9e+03	
Current Velocity: 12	Coast	Distance: 8.3e+02	Time: 11	Final Velocity: 11	Joules Lost: 5.9e+03	
Current Velocity: 11	Coast	Distance: 8.4e+02	Time: 11	Final Velocity: 11	Joules Lost: 5.9e+03	
Current Velocity: 11	Coast	Distance: 8.5e+02	Time: 11	Final Velocity: 11	Joules Lost: 5.9e+03	
Current Velocity: 11	Coast	Distance: 8.6e+02	Time: 11	Final Velocity: 11	Joules Lost: 5.9e+03	
Current Velocity: 11	Coast	Distance: 8.7e+02	Time: 10	Final Velocity: 10	Joules Lost: 5.9e+03	
Current Velocity: 10	Coast	Distance: 8.8e+02	Time: 9.9	Final Velocity: 9.9	Joules Lost: 5.9e+03	
Current Velocity: 9.9	Coast	Distance: 8.9e+02	Time: 9.5	Final Velocity: 9.5	Joules Lost: 5.9e+03	
Current Velocity: 9.5	Coast	Distance: 9e+02	Time: 9.2	Final Velocity: 9.2	Joules Lost: 5.9e+03	
Current Velocity: 9.2	Coast	Distance: 9.1e+02	Time: 8.8	Final Velocity: 8.8	Joules Lost: 5.9e+03	
Current Velocity: 8.8	Coast	Distance: 9.2e+02	Time: 8.4	Final Velocity: 8.4	Joules Lost: 5.9e+03	
Current Velocity: 8.4	Run  	Distance: 9.3e+02	Time: 8.4	Final Velocity: 13	Joules Lost: 6.9e+03	
Current Velocity: 13	Coast	Distance: 9.4e+02	Time: 13	Final Velocity: 13	Joules Lost: 6.9e+03	
Current Velocity: 13	Coast	Distance: 9.5e+02	Time: 13	Final Velocity: 13	Joules Lost: 6.9e+03	
Current Velocity: 13	Coast	Distance: 9.6e+02	Time: 13	Final Velocity: 13	Joules Lost: 6.9e+03	
Current Velocity: 13	Coast	Distance: 9.7e+02	Time: 12	Final Velocity: 12	Joules Lost: 6.9e+03	
Current Velocity: 12	Coast	Distance: 9.8e+02	Time: 12	Final Velocity: 12	Joules Lost: 6.9e+03	
Current Velocity: 12	Coast	Distance: 9.9e+02	Time: 12	Final Velocity: 12	Joules Lost: 6.9e+03	
Current Velocity: 12	Coast	Distance: 1e+03	Time: 11	Final Velocity: 11	Joules Lost: 6.9e+03	
Time: 1078.02
0.919833
M/KWH: 320.82
